text,lang_zh,dir,superType
Furniture,家具,家具类,产品
Sofa,沙发,家具类,产品
Chairs,椅子,家具类,产品
Tables,桌子,家具类,产品
Beds,床,家具类,产品
Bookshelves,书架,家具类,产品
Lighting Fixtures,灯具,照明类,产品
Chandeliers,吊灯,照明类,产品
Wall Sconces,壁灯,照明类,产品
Table Lamps,台灯,照明类,产品
Floor Lamps,落地灯,照明类,产品
Carpets,Rugs,地毯地垫类,产品
Curtains,窗帘,窗帘百叶窗类,产品
Blinds,百叶窗,窗帘百叶窗类,产品
Decorative Paintings,装饰画,墙面装饰类,产品
Photographic Art,摄影作品,墙面装饰类,产品
Vases,花瓶,装饰品类,产品
Indoor Plants,室内植物,装饰品类,产品
Soft Furnishings,软装配饰,软装类,产品
Throw Pillows,抱枕,软装类,产品
Beddings,床上用品,软装类,产品
Mirrors,镜子,装饰品类,产品
Wall Decor,墙面装饰品,墙面装饰类,产品
Murals,壁画,墙面装饰类,产品
Wall Stickers,墙贴,墙面装饰类,产品
Wall Clocks,挂钟,墙面装饰类,产品
Storage and Organization Products,收纳与组织用品,收纳整理类,产品
Bookshelves,书架,收纳整理类,产品
Storage Boxes,收纳盒,收纳整理类,产品
Wardrobes,衣柜,收纳整理类,产品
Cutlery,餐具,厨房用品类,产品
Plates,盘子,厨房用品类,产品
Cups,杯子,厨房用品类,产品
Cookware,烹饪器具,厨房用品类,产品
Kettles,水壶,厨房电器类,产品
Blenders,搅拌机,厨房电器类,产品
Toasters,烤面包机,厨房电器类,产品
Microwaves,微波炉,厨房电器类,产品
Refrigerators,冰箱,大型家电类,产品
Washing Machines,洗衣机,大型家电类,产品
Air Conditioners,空调,大型家电类,产品
Heaters,加热器,家用取暖器材,产品
Fans,风扇,家用降温器材,产品
Vacuum Cleaners,吸尘器,清洁设备类,产品
Irons,熨斗,清洁设备类,产品
Towels,毛巾,卫生用品类,产品
Soap Dispensers,皂液器,卫生用品类,产品
Toothbrush Holders,牙刷架,卫生用品类,产品
Shower Curtains,浴帘,浴室用品类,产品
Bath Mats,浴室地垫,浴室用品类,产品
Pillows,枕头,卧室用品类,产品
Blankets,毯子,卧室用品类,产品
Alarm Clocks,闹钟,日常用品类,产品
Umbrellas,雨伞,日常用品类,产品
Bags,包,个人携带品类,产品
Shoes,鞋,个人携带品类,产品
Candles,蜡烛,装饰品类,产品
Essential Oil Diffusers,香薰机,家居香氛类,产品
Picture Frames,相框,装饰品类,产品
Bookends,书挡,办公用品类,产品
Desk Lamps,台灯,办公用品类,产品
Notebooks,笔记本,办公用品类,产品
Pens,笔,办公用品类,产品
Waste Baskets,垃圾篓,清洁设备类,产品
Desk Organizers,桌面整理盒,办公用品类,产品
Chargers,充电器,电子配件类,产品
Headphones,耳机,电子配件类,产品
Computer Mice,鼠标,电子配件类,产品
Keyboards,键盘,电子配件类,产品
USB Drives,U盘,电子配件类,产品
Power Strips,插座排,电子配件类,产品
Tablecloths,桌布,餐桌用品类,产品
Serving Trays,托盘,餐桌用品类,产品
Spice Racks,调料架,厨房用品类,产品
Coffee Makers,咖啡机,厨房电器类,产品
Dish Racks,碗架,厨房用品类,产品
Laundry Baskets,洗衣篮,清洁用品类,产品
Storage Containers,储物容器,厨房用品类,产品
Door Mats,门垫,家居用品类,产品
Hand Sanitizers,手部消毒液,卫生用品类,产品
Plungers,通厕器,清洁用品类,产品
First Aid Kits,急救包,安全用品类,产品
Fire Extinguishers,灭火器,安全用品类,产品
Wall Shelves,墙架,家具类,产品
Plant Pots,植物盆,装饰品类,产品
Yoga Mats,瑜伽垫,运动健身用品类,产品
Soft light,柔和光,光的质量,灯光
Hard light,硬光,光的质量,灯光
Diffuse light,漫射光,光的质量,灯光
Direct light,直射光,光的质量,灯光
Cold light,冷光,光的温度,灯光
Warm light,暖光,光的温度,灯光
Overcast,阴天光,自然光,灯光
Sunlight,日光,自然光,灯光
自然光,自然光,自然光,灯光
Dappled light,斑驳光,自然光,灯光
Ambient Lighting,环境光,人造光,灯光
Studio lighting,工作室照明,人造光,灯光
Theater Lighting,剧院照明,人造光,灯光
